Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus,Priority
UDFXPathShort.java,3.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,3.0,37.0,5.0,15.0,12.0,2.0,17.0,3.0,5.0,7.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,13",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFXPathString.java,9.0,1.0,8.0,0.0,2.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,4.0,51.0,6.0,28.0,21.0,7.0,17.0,3.0,10.0,13.0,9.0,7.0,2.0,2.0,2.0,1.0,0.0,0.0,"0,61",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFXPathUtil.java,7.0,0.0,7.0,0.0,2.0,1.0,18.0,18.0,0.0,2.0,0.0,3.0,18.0,0.0,18.0,18.0,11.0,18.0,7.0,0.0,2.0,0.0,16.0,54.0,217.0,32.0,159.0,60.0,85.0,27.0,23.0,81.0,116.0,52.0,70.0,16.0,10.0,1.0,2.0,84.0,12.0,"0,17",34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFYear.java,17.0,0.0,16.0,0.0,6.0,1.0,21.0,21.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,42.0,0.0,0.0,1.0,3.0,34.0,135.0,12.0,101.0,48.0,52.0,23.0,24.0,50.0,59.0,33.0,31.0,22.0,11.0,2.0,2.0,63.0,63.0,"0,23",22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDTFCollector.java,4.0,0.0,4.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,6.0,56.0,8.0,21.0,11.0,5.0,27.0,4.0,10.0,15.0,10.0,5.0,3.0,1.0,1.0,0.0,38.0,38.0,"1,29",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDTFDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,7.0,7.0,0.0,1.0,0.0,1.0,9.0,0.0,9.0,9.0,2.0,9.0,36.0,0.0,0.0,0.0,9.0,16.0,88.0,17.0,48.0,25.0,14.0,23.0,13.0,19.0,30.0,19.0,11.0,9.0,2.0,2.0,1.0,56.0,44.0,"0,48",11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDTFOperator.java,10.0,1.0,7.0,2.0,2.0,2.0,20.0,20.0,0.0,1.0,1.0,2.0,9.0,0.0,9.0,8.0,6.0,9.0,128.0,0.0,0.0,3.0,6.0,30.0,155.0,26.0,90.0,44.0,39.0,39.0,43.0,54.0,69.0,40.0,33.0,12.0,4.0,2.0,1.0,81.0,81.0,"0,43",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
URIResolverHook.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,37.0,5.0,7.0,6.0,0.0,25.0,1.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,57",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
URISecretSource.java,5.0,0.0,5.0,0.0,1.0,1.0,12.0,12.0,0.0,1.0,1.0,1.0,6.0,0.0,6.0,5.0,1.0,6.0,6.0,1.0,2.0,0.0,3.0,15.0,74.0,10.0,41.0,21.0,15.0,23.0,14.0,21.0,30.0,20.0,14.0,7.0,2.0,1.0,1.0,33.0,17.0,"0,56",8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
URISecretSourceTest.java,5.0,0.0,5.0,0.0,1.0,1.0,10.0,10.0,0.0,2.0,0.0,0.0,9.0,0.0,9.0,9.0,1.0,9.0,6.0,0.0,0.0,0.0,9.0,5.0,87.0,13.0,57.0,32.0,13.0,21.0,11.0,24.0,36.0,23.0,13.0,6.0,2.0,1.0,1.0,67.0,67.0,"0,37",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
