Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus
File,TezDummyStoreOperator.java,4.0,0.0,3.0,1.0,1.0,,,,,1.0,0.0,0.0,5.0,,5.0,5.0,1.0,5.0,,0.0,0.0,1.0,4.0,,59.0,8.0,23.0,11.0,7.0,28.0,,10.0,16.0,10.0,6.0,,1.0,,0.0,,,"1,22",5.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezEdgeProperty.java,3.0,0.0,3.0,0.0,1.0,,,,,2.0,0.0,0.0,16.0,,14.0,16.0,15.0,16.0,,0.0,0.0,0.0,16.0,,112.0,21.0,74.0,36.0,23.0,22.0,,32.0,48.0,26.0,22.0,,1.0,,0.0,,,"0,30",14.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezJobExecHelper.java,12.0,0.0,11.0,1.0,3.0,,,,,1.0,1.0,2.0,1.0,,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,67.0,10.0,33.0,11.0,19.0,24.0,,16.0,21.0,10.0,13.0,,3.0,,2.0,,,"0,73",3.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezJobMonitor.java,18.0,1.0,16.0,1.0,4.0,,,,,2.0,4.0,6.0,21.0,,21.0,16.0,10.0,20.0,,2.0,12.0,0.0,6.0,,495.0,48.0,398.0,126.0,248.0,50.0,,212.0,294.0,124.0,196.0,,29.0,,5.0,,,"0,13",79.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezJsonParser.java,12.0,0.0,12.0,0.0,4.0,,,,,1.0,0.0,0.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,,50.0,6.0,27.0,7.0,16.0,17.0,,10.0,14.0,5.0,9.0,,7.0,,1.0,,,"0,63",8.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezMergedLogicalInput.java,5.0,0.0,5.0,0.0,1.0,,,,,1.0,0.0,0.0,3.0,,3.0,3.0,1.0,3.0,,0.0,0.0,0.0,3.0,,55.0,7.0,27.0,15.0,7.0,21.0,,13.0,19.0,13.0,7.0,,2.0,,1.0,,,"0,78",4.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezProcessor.java,14.0,1.0,12.0,1.0,2.0,,,,,4.0,0.0,4.0,16.0,,17.0,17.0,12.0,17.0,,6.0,2.0,1.0,8.0,,345.0,42.0,250.0,90.0,132.0,53.0,,126.0,171.0,77.0,107.0,,8.0,,3.0,,,"0,21",38.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezProgressMonitor.java,11.0,0.0,10.0,1.0,2.0,,,,,2.0,0.0,1.0,22.0,,22.0,22.0,12.0,22.0,,11.0,3.0,0.0,8.0,,331.0,38.0,252.0,88.0,144.0,41.0,,118.0,174.0,84.0,100.0,,8.0,,3.0,,,"0,16",52.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezProgressMonitorStatusMapper.java,5.0,0.0,5.0,0.0,2.0,,,,,2.0,0.0,0.0,3.0,,1.0,3.0,7.0,3.0,,0.0,0.0,0.0,3.0,,49.0,5.0,23.0,9.0,10.0,21.0,,7.0,12.0,7.0,6.0,,5.0,,1.0,,,"0,91",5.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezSessionPool.java,16.0,0.0,14.0,2.0,4.0,,,,,4.0,0.0,1.0,23.0,,24.0,24.0,13.0,24.0,,10.0,8.0,0.0,6.0,,487.0,39.0,374.0,117.0,226.0,80.0,,203.0,292.0,109.0,216.0,,9.0,,3.0,,,"0,21",82.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
